fips,asian,white,black,hispanic,popsqmi,nat_amer,pct_change
12065,0.003862,0.603753,0.361764,0.036989,24.7,0.002507,0.144086
12067,0.001466,0.774295,0.159076,0.121308,16.3,0.004284,0.263173
12069,0.017414,0.820139,0.097973,0.121221,316.6,0.004955,0.410986
12071,0.013674,0.829887,0.082535,0.183123,788.7,0.003544,0.403427
12073,0.029232,0.629721,0.303172,0.055759,413.1,0.002813,0.150489
12075,0.005613,0.854783,0.093919,0.07468,36.5,0.004167,0.184354
12077,0.002032,0.772504,0.17896,0.061925,10,0.01064,0.191426
12079,0.002445,0.575843,0.388057,0.046764,27.6,0.004838,0.0262104
12081,0.01634,0.818758,0.087445,0.148544,434.5,0.003234,0.222843
12083,0.013302,0.809797,0.123236,0.109077,209.1,0.003951,0.279558
12085,0.010525,0.872695,0.053596,0.122206,269.2,0.005741,0.154556
12086,0.015089,0.737807,0.189461,0.650471,1315.5,0.002003,0.107871
12087,0.011069,0.89491,0.057381,0.206198,74.3,0.00405,-0.081657
12089,0.008716,0.897632,0.063671,0.032463,113,0.004201,0.271422
12091,0.029465,0.810643,0.092892,0.068001,194.4,0.005906,0.060552
12093,0.008776,0.775303,0.080083,0.239049,52,0.009501,0.113784
12095,0.049374,0.635971,0.207897,0.268984,1268.5,0.003955,0.278478
